Tweet,Category
The Economist baru saja menulis sesuatu yang jarang mereka lakukan mengenai negara berkembang. Mereka menulis briefing bukan sekadar artikel biasa. Judulnya: Presiden Indonesia Membahayakan Perekonomian dan Demokrasi. Dan setelah membaca semuanya sulit untuk membantahnya.,Economy
Menteri Koordinator (Menko) Bidang Perekonomian Airlangga Hartarto mengungkapkan pemerintah tengah mematangkan berbagai aturan jelang pemberlakuan kebijakan Devisa Hasil Ekspor (DHE) yang mulai berlaku pada 1 Juni 2026.,Economy
Menteri Keuangan Purbaya Yudhi Sadewa menanggapi anjloknya Indeks Harga Saham Gangguan (IHSG) ke level 6.100 setelah pemerintah mengumumkan kebijakan ekspor baru di sektor sumber daya alam (SDA). Pemerintah akan mewajibkan ekspor tiga komoditas utama SDA yakni kepala sawit batu,Economy
Menteri Keuangan Purbaya langsung terbang ke Amerika untuk meluruskan keadaan. Ternyata semua itu ulah para pengkhianat bangsa yang sengaja menyebarkan kabar buruk mengenai perekonomian Indonesia. Setelah mendengar klarifikasinya Bank Dunia akhirnya paham dan resmi,Economy
Belum lagi kenaikan suku bunganya. Saat IHSG sedang jelek Bank harus menaikkan suku bunga menjadi kurang lebih 5%. Sepanjang hidup kamu bekerja hanya untuk membayar cicilan berbunga ganda.,Economy
Klarifikasi dulu fakta di balik ambruknya IHSG beberapa hari terakhir ini karena banyak pakar plagiarisme yang senang mengkambinghitamkan kunjungan Sufmi Dasco ke BEI. Jauh sebelum itu pasar sudah berada dalam tekanan berat. MSCI menghapus 6 orang WNI,Economy
"Rupiah tembus Rp17.700. Cadangan devisa makin tipis. Pengangguran tertinggi se-ASEAN. Namun pejabat kita masih dengan santai mengatakan: ""Fundamental kita kuat."" Yuk kita cek benaran� pakai angka bukan basa-basi. Pertama � ""fundamental"" itu sebenernya",Economy
Jika Anda ingin mengetahui keadaan perekonomian sebenarnya � jangan melihat garis kopinya. Coba lihat ini: � Rupiah di Rp17.500 terlemah sepanjang sejarah � PMI Manufaktur Indonesia di bawah 50 artinya sektor produksi terkontraksi � PHK massal di sektor tekstil elektronik,Economy
Indonesia di ambang krisis ekonomi akibat kebijakan sembrono Pemerintahan Prabowo di ambang kebangkrutan. Namun situasi ini tetap tidak membuat Prabowo menyadari kesalahannya,Economy
SALAH SATU PENYEBAB KEMISKINAN BUKAN KARENA KEKURANGAN REZEKI TAPI KARENA KEBANYAKAN UTANG. kita sering salah menyalahkan seperti gaji kecil sulit hidup tidak adil. padahal tanpa sadar sebagian besar rezeki yang datang sudah habis bahkan sebelum sempat,Economy
Baru tadi pagi digoreng narasi 'Rupiah stabil'  sore ini langsung loyo lagi ke Rp17.667. BI sudah berkorban naikkan bunga ke 5 25% demi nahan modal kabur  tapi langsung rusak sama sentimen negatif pasar yang ngeri liat aturan monopoli ekspor BUMN. Kebijakan sektoral ugal-ugalan,Economy
"LIHAT FAKTA Video Anies Baswedan tentang Situasi Terkini di Indonesia ""Rupiah telah jatuh ke titik terendah sepanjang sejarah. Harga-harga meningkat  kesempatan kerja semakin menyempit  daya beli rumah tangga melemah  tabungan terkikis. Dan ini berdampak pada penghidupan masyarakat",Economy
Kejutan 50 bps kenaikan suku bunga menandakan kecenderungan hawkish terhadap pertahanan mata uang,Economy
Kesimpulannya  perekonomian Indonesia belum tentu memasuki krisis  namun jelas memasuki fase hati-hati. Pemerintah melihat fundamental makroekonomi tetap kuat. Namun  pasar dan beberapa ekonom membaca sinyal bahaya dari rupiah,Economy
“Pertumbuhan kuartal I-2026 menembus 5 61%!” Di atas kertas  angka ini adalah sinyal optimisme. Tapi di dunia nyata  jutaan kelas menengah justru harus menghitung ulang isi dompet mereka setiap pagi.,Economy
Ditanya kenapa sih IHSG bisa anjlok  begini singkatnya penjelasannya  namun bila update data terakhir  tak tambahin anjlok karena pidato presiden yang akan membentuk badan baru  badan Ekspor,Economy
Kayanya Purbaya OJK dan piranti keuangan negara harus mulai jujur ​​pd rakyat ttg kondisi saat ini. Krn hanya pemerintah saja yg mengatakan,Economy
Keadaan ekonomi saudara ini mewakili banyak lulusan sarjana di Indonesia. Banyak dari mereka yang telah susah payah menyelesaikan kuliah namun gagal mendapatkan pekerjaan yang sesuai  dan terpaksa melakukan pekerjaan apa pun hanya untuk memenuhi kebutuhan hidup. Tak jarang  banyak juga yang kesulitan melakukannya,Economy
Media internasional kembali menyoroti keadaan Indonesia di bawah pemerintahan Prabowo. The Economist menilai Indonesia berada pada jalur yang berisiko  baik secara ekonomi maupun demokrasi. Melemahnya rupiah  kebijakan belanja negara dinilai terlalu agresif.,Economy
Guys  Yanuar Rizky memberikan analogi yang menurut saya paling hits dan terasa paling relevan dengan situasi perekonomian Indonesia saat ini. Katanya pemerintah saat ini punya banyak gaya meski bangkrut dan egonya meroket. Dan analoginya super,Economy
Indonesia mengumumkan perusahaan milik negara untuk mengendalikan ekspor komoditas penting. Hal ini juga akan mengharuskan eksportir untuk menyimpan pendapatan mereka di bank-bank milik negara. “Setiap harga [komoditas ini] harus kita tentukan. Kalau tidak mendukung  mereka tidak perlu membeli. Kita pakai,Economy
Jadi  masalahnya bukan hanya apakah perekonomian tumbuh atau tidak. Masalah utamanya adalah kualitas dan ketahanan pertumbuhan. Pertumbuhan sebesar 5 61% memang positif  namun pelemahan rupiah  tekanan terhadap IHSG,Economy
Pertumbuhan Indonesia tertahan di kisaran 5%. Bank Dunia dan IMF pesimistis. Reformasi terhenti  SDM buruk  infrastruktur di luar Jawa buruk  birokrasi korup  kualitas investasi rendah. Mau 8% dengan ICOR tinggi,Economy
Sayangnya  Indonesia memiliki Presiden yang sikapnya terkesan sulit menerima masukan dan kritik dari luar lingkarannya. Situasi perekonomian saat ini sudah mulai merah. Batasannya sangat tipis sebelum krisis terjadi. Presiden harus menyadari atau didesak Dari ᶜⁱᶜاگ ᵈⁱ ᴰⁱⁿᵈⁱⁿᵍ,Economy
Kesehatan fiskal Indonesia kuat dan aman! Menteri Keuangan menepis kekhawatiran media asing mengenai stabilitas perekonomian nasional. Dengan rasio utang terhadap PDB yang dijaga ketat di kisaran 40%  kondisi keuangan kami terbukti jauh lebih kuat dan lebih baik.,Economy
Rupiah melemah  IHSG anjlok  dan pasar keuangan Indonesia tertekan. Meski demikian  pemerintah menyatakan fundamental perekonomian masih baik karena pertumbuhan ekonomi mencapai 5 61%. Lantas,Economy
"Baca Juga: Di Tengah Pelemahan Rupiah dan Koreksi IHSG  Menteri Keuangan Purbaya Yudhi Sadewa angkat bicara terkait kekhawatiran krisis seperti tahun 1998. Ia menegaskan  kondisi perekonomian Indonesia saat ini masih dalam kondisi pertumbuhan. ""Kita tidak berada di 8/14150791/purbaya-pastikan-kondisi-indonesia-berbeda-dengan-krisis-1998-meski-rupiah?utm_campaign=twitter_newsplay",Economy
Melemahnya IHSG menjadi bagian dari dinamika pasar global yang masih diwarnai ketidakpastian. Investor cenderung mengambil langkah hati-hati di tengah berbagai faktor eksternal seperti perlambatan ekonomi global dan volatilitas pasar internasional. Situasi ini menunjukkan,Economy
Saat ini Indonesia sedang mengalami KEJADIAN EKONOMI  dan para pemimpinnya dengan percaya diri mengutarakan OPTIMISME PALSU. Maksudku  ayolah…,Economy
Sayangnya  Indonesia memiliki Presiden yang sikapnya terkesan sulit menerima masukan dan kritik dari luar lingkarannya. Situasi perekonomian saat ini sudah mulai merah. Batasannya sangat tipis sebelum krisis terjadi. Presiden harus menyadari atau didesak ᶜⁱᶜاگ ᵈⁱ ᴰⁱⁿᵈⁱⁿᵍ,Economy
Meski Purbaya kerap mengklaim keadaan baik-baik saja  namun perekonomian Indonesia sudah memasuki mode bertahan hidup. Maksudnya itu apa?,Economy
"Read more: Amid the weakening rupiah and IHSG correction  Finance Minister Purbaya Yudhi Sadewa speaks out regarding concerns about a crisis like 1998. He emphasized that Indonesia's current economic condition is still in a state of growth. ""We're not in 8/14150791/purbaya-pastikan-kondisi-indonesia-berbeda-dengan-krisis-1998-meski-rupiah?utm_campaign=twitter_newsplay",Economy
"Saat ini perekonomian kita masih tumbuh positif sebesar 5 61% dan inflasi sangat terkendali sebesar 2 41%. Daya beli kita di akar rumput masih terjaga. ""Dompet"" Negara Jauh  Tahun '98  Bank Indonesia Mundur Karena Devisa",Economy
Ayah bilang rasio utang Indonesia 40%  paling disiplin di ASEAN Pak  rasio utang yang rendah itu bagus  tapi itu bukan satu-satunya tolak ukur kesehatan perekonomian. Rupiah di Rp17.700 terendah sepanjang masa  IHSG turun 30% dari ATH-nya,Economy
Pembacaan situasi perekonomian mengenai bahaya tekanan fiskal dan semakin sempitnya ruang gerak negara telah divalidasi oleh analisis majalah terkemuka Inggris  The Economist. Outlet media tersebut memperingatkan pembelanjaan yang terlalu agresif,Economy
663 Saham Anjlok ke Level Terendah IHSG Ditutup Turun 3 54 Persen ke 6.094,Economy
Baca Juga: Selama 34 Tahun  Dugaan Praktik Under Invoice Disebut-sebut merugikan negara hingga Rp 15.400 triliun. Temuan ini menjadi salah satu alasan pemerintah mendirikan PT Danantara Sumberdaya Indonesia (PT DSI). CEO Danantara Rosan 1/160638426/bos-danantara-bumn-baru-cegah-under-faktur-janji-transparan?utm_campaign=twitter_newsplay,Economy
Omong kosong belaka videoin biar narik pelanggan...huiii..preeetttt... dibohongin truz ya rakyat kecil padahal aslinya negara ini kaya raya dan tiap penduduknya bisa mendapat penghasilan 2jt/BLN  meskipun TDK kerja. Ini rezim busuk dan bau. Semua hanya omong kosong.,Economy
Saat Anies Baswedan menyebut daya beli masyarakat melemah  data BPS justru mencatat konsumsi rumah tangga tumbuh 5 56%. Kritik boleh  tapi tetap harus berdasarkan fakta yang utuh dan obyektif.,Economy
Narasi bahwa daya beli masyarakat melemah ternyata tidak sepenuhnya sesuai fakta. Di tengah kritik Anies Baswedan terhadap pemerintah  data BPS justru mencatat konsumsi rumah tangga tumbuh 5 56%. Ini menunjukkan aktivitas masyarakat masih bergerak positif dan menjadi,Economy
Purbaya Yudhi Sadewa menilai kritik The Economist harus dilihat secara objektif. Indonesia disebut masih memiliki ketahanan ekonomi yang kuat  pasar domestik yang besar  dan peluang pertumbuhan yang menjanjikan dibandingkan banyak negara Eropa.,Economy
IHSG melemah di tengah masih tingginya tekanan di pasar global. Ketidakpastian perekonomian global  ketegangan geopolitik  dan arah suku bunga global telah menyebabkan banyak investor mengambil pendekatan yang lebih hati-hati.,Economy
Minat investor asing terhadap Indonesia tetap tinggi meskipun dunia sedang dilanda ketegangan geopolitik dan ketidakpastian perekonomian global. “Terlepas dari situasi saat ini  perang  geopolitik global  dan geoekonomi global  ternyata kepentingan dan kepentingan mereka,Economy
Jika saat ini 95% orang percaya kinerja pemerintah jelek melihat rupiah yg terus menerus melemah  maka dr 5% nya ada gw yang percaya presiden sedang berjuang mempertahankan kedaulatan negara. Jika melihat pola yang terstruktur  sistematis dan masif tentu bisa,Economy
Fundamental perekonomian Indonesia saat ini jauh lebih kuat dibandingkan krisis-krisis sebelumnya. Dengan cadangan devisa yang memadai dan inflasi yang terkendali  pemerintah dan Bank Indonesia memiliki instrumen yang memadai untuk menjaga stabilitas pasar.,Economy
Sobat  gajian belum tiba  nanti kalau gajian  orang-orang masih keluar belanja  ke kedai kopi,Economy
Khususnya di Indo: • Lowongan kerja menurun drastis dibandingkan beberapa tahun terakhir. • Pekerjaan pemerintah berantakan total  hanya menghambur-hamburkan dana negara untuk sektor-sektor yang tidak penting  dan pada akhirnya merugikan rakyat kecil juga. • Nilai tukar rupiah sudah super lemah,Economy
– Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa mengadu ke Presiden Prabowo Subianto. Bahwa ada ekonom yang aneh-aneh ngomong mau resesif. Padahal menurut dia  kondisi ekonomi nasional kita di atas rata-rata global,Economy
Kondisi perekonomian Indonesia saat ini sangat kritis  banyak dari kondisi tersebut yang dipoles dan ditutup-tutupi oleh buzzer pemerintah yang menggunakan argumen dan informasi yang membuat segalanya tampak baik-baik saja. Tujuannya untuk menenangkan situasi dan menghibur warga  namun jika,Economy
Dasco datang  IHSG tumbang. Apakah itu dalangnya? Berhenti. Ini cocoklogi kelas penerimaan. Fakta waktu Rombongan Dasco dan Danantara baru tiba di BEI jam 10.27 WIB. Sementara IHSG sudah ambrol ke 6.565 sejak pasar buka. Biang keroknya jelas: - Rebalancing MSCI & FTSE coret belasan,Economy
