text,label
"bintang reality tv benzino tertembak, terluka oleh keponakannya saat mengemudi dalam prosesi pemakaman",1
robin thicke minta maaf kepada istrinya dalam lagu baru “get her back” langsung di ...,1
captain america: winter soldier adalah perumpamaan politik tentang keamanan negara,1
objek yang ditemukan di area pencarian baru perlu diverifikasi,0
"ulasan ""guardians of the galaxy"": marvel melambung ke luar angkasa dengan keunggulan sci-fi",1
"blm kumpulkan sapi, anak peternak nv ditahan",0
ubisoft meluncurkan assassin's creed: unity berlatar selama revolusi perancis,2
keuntungan anjlok di bank investasi barclays meskipun ada pemotongan biaya yang besar,0
apple akan mengumumkan sistem rumah pintar pada bulan juni,2
apakah sebuah tablet kuno menceritakan kisah nyata bahtera nuh?,1
"prajurit terhebat dibunuh karena ""serangan jantung masif"", hasil otopsi",1
mantan bintang 'shield' michael jace mengaku tidak bersalah dalam pembunuhan istrinya,1
peringatan diplomat rusia kepada irlandia dan reaksi mick jagger dari rolling stones ...,1
drone hampir bertabrakan dengan pesawat penumpang,0
emma stone tampil memukau dalam balutan gaun kuning memukau di karpet merah the amazing ...,1
rupanya ini penting: ronald mcdonald baru,0
final musim spesial hari ayah 'game of thrones': suka? benci? atau apa?,1
ebay membuat pengguna mengubah kata sandi mereka setelah diretas,2
"""proyek nol"" google terungkap, pasukan peretas untuk melindungi internet dari ...",2
jenny mccarthy mengumumkan pertunangan di 'the view',1
medtronic-covidien: akhir dari impian amerika?,0
10 hal yang perlu anda ketahui sebelum bel pembukaan,0
southwest airlines meluncurkan penerbangan nonstop pertamanya antara denver dan dallas,0
"inilah selfie terbaik keluarga obama, kalau-kalau gedung putih larang selfie...",0
pemodal ventura membeli 30.000 bitcoin dalam lelang pemerintah as,0
businessweek membajak peluncuran samsung galaxy s5 untuk menyoroti...,2
"virus pendarahan jantung diduga dieksploitasi oleh nsa selama bertahun-tahun, laporan bloomberg",2
yang perlu ditonton: ansel elgort dari 'the fault in our stars',1
quarterback 49ers colin kaepernick menyangkal tuduhan pelecehan seksual,0
"roche membeli seragon hingga $1,7 miliar",0
harga gas rata-rata lebih dari $4 di wilayah setempat,2
detail muncul tentang robot cetak 3d intel 'jimmy',2
"obamacare menurunkan tingkat tidak diasuransikan, gallup menemukan",0
justin bieber berbagi tarian seksi dengan selena gomez sebelum menghapusnya,1
pemeran bertabur bintang memberikan kehidupan baru pada drama tahun 1980-an 'the normal heart',1
amazon memperkenalkan belanja online smartphone fire,0
tanggal rilis iphone 6 tertunda karena os x 10.10 akan membintangi wwdc 2014,2
lions gate akan mengembangkan film power rangers,1
jimmy jean-louis akan berperan sebagai astronot di serial musim panas fiksi ilmiah cbs 'extant ...,1
pemeriksaan kenyataan: studi emosi kontroversial facebook adalah sah,2
kotak surat hadir di android gratis hari ini (diperbarui: langsung!),2
detail lebih lanjut muncul di mariah carey dan nick cannon split,1
google meraih songza saat perlombaan musik streaming memanas,2
"""idina menzel mengatakan dia 'teman' dengan john travolta"".",1
ipo teknologi terbesar alibaba yang pernah ada,0
sara gilbert dan linda perry menikah,1
ekonom berharap ecb akan melonggarkan kebijakan moneternya namun qe tidak dipertimbangkan,0
enak! merek mengincar 2000 toko pada tahun '20,0
haruskah anda takut dengan bug heartbleed?,2
gm menarik kembali dua setengah juta kendaraan lainnya,0
kim kardashian mengenakan gaun pengantin givechy,1
"twitter chris colfer diretas, aktor tak keluar dari 'glee'",1
hitachi dan mitsubishi heavy industries mungkin bergabung dengan siemens untuk melawan tawaran ge untuk ...,0
"dolar, euro lebih tinggi menjelang data pekerjaan dan ecb",0
kim dan kanye tidak akan menjual foto pernikahan,1
fbi: persetujuan alkohol bubuk adalah sebuah kesalahan,1
gm menyesatkan keluarga yang berduka atas cacat mobil yang mematikan,2
justin bieber terus berseteru dengan seth rogen yang mengaku dirinya pemalu,1
sekuel incredibles akan segera hadir!,1
ulasan: segalanya tidak hangat dan kabur di 'bears' disney,1
"garcetti, jay z akan mengumumkan rencana festival musik 'made in america'",1
twitter membeli gnip mitra data -- pembaruan ke-3,2
"sorotan video rabu: teaser ""hunger games: mockingjay"" no. 2 - ""the ...",1
biro perlindungan keuangan konsumen menemukan empat dari lima pinjaman payday ...,0
james spader menggoda final 'daftar hitam': anda mungkin berpikir 'anda tahu lebih banyak daripada yang anda tahu',1
"apple memberikan $119 juta, tetapi tidak ada pemenang yang jelas dalam kasus ini",2
ayah baptis semua dinosaurus yang ditemukan di argentina: kejutan 'terbesar di dunia' ...,2
mantan direktur goldman rajat gupta kemungkinan akan memulai hukuman penjara pada 17 juni,0
"mlb.com at bat menambahkan dukungan chromecast, memungkinkan anda menikmati permainan di ...",2
"opsi, implikasi setelah keputusan mahkamah agung yang melarang tv-over-internet ...",2
'saya terobsesi': kaley cuoco-sweeting mengakui bahwa dia khawatir tentang online ...,1
mars akan tampak cerah coklat kemerahan pada 15 april,2
blackberry menggoda pengguna dengan aplikasi android dari amazon appstore,2
facebook menargetkan zambia dengan aplikasi gratis,2
hewitt bergabung dengan 'criminal minds' di cbs,1
dugaan nokia lumia 830 kelas menengah microsoft terlihat dalam gambar yang bocor,2
minyak turun karena produksi irak tetap tidak terpengaruh,0
"samsung pertajam harga tab 4, perluas penjualan operator",2
microsoft mungkin akan segera merilis nokia 'superman' yang ramah selfie,0
north west dilaporkan memiliki guru bahasa prancisnya sendiri,1
project morpheus: pesaing oculus rift sony tampak luar biasa,2
saham jatuh karena departemen keuangan mengurangi kepemilikannya di lloyds,0
sebuah studi baru menegaskan bahwa apple iphone 5s adalah pemimpin utama ...,2
dinosaurus 'pinocchio rex' baru ditemukan ilmuwan,2
sepak bola: kemenangan jerman bagi astronot,2
wawasan - pertarungan kompensasi terjadi empat tahun setelah tumpahan minyak bp di as,0
laporan: apple berencana memperkenalkan platform rumah yang terhubung di wwdc,2
