No,News Title,Category,News Title Indonesia
63622,Yellen to address financial stability as concerns grow about impact from Fed policy,Economy,Yellen akan mengatasi stabilitas keuangan seiring meningkatnya kekhawatiran mengenai dampak kebijakan Fed
12408,Streisand's Gay Sex Problem,Entertainment,Masalah Seks Gay Streisand
28524,Japan's Topix Posts Highest Close in 5 Months on Tankan,Economy,Topix Jepang Mencatat Penutupan Tertinggi dalam 5 Bulan di Tankan
9234,Stock Update (NASDAQ:GOOG): Can Ray-Ban and Oakley Make Google Glass  ...,Technology,Pembaruan Saham (NASDAQ:GOOG): Bisakah Ray-Ban dan Oakley Membuat Google Glass ...
30943,Pipe break puts 20 million gallons of water down the drain during California  ...,Economy,Pecahnya pipa menyebabkan 20 juta galon air terbuang sia-sia selama California ...
11538,Big meteorite strikes in Russia — again!,Technology,Meteorit besar menghantam Rusia — lagi!
49551,PRICE COMMENTS ON EPA EFFORTS TO CURB CARBON POLLUTION,Economy,KOMENTAR HARGA TENTANG UPAYA EPA UNTUK MENGURANGI POLUSI KARBON
54264,Lyrid meteor shower to splash across our skies,Technology,Hujan meteor Lyrid melintasi langit kita
50308,"Google, Barnes & Noble will now bring you books on the fly",Economy,"Google, Barnes & Noble kini akan memberikan Anda buku dengan cepat"
55359,Hillary Clinton considers future plans,Entertainment,Hillary Clinton mempertimbangkan rencana masa depan
63805,Chrysler (DDAIF) recalls 780K minivans for overheating window switch,Economy,Chrysler (DDAIF) menarik minivan 780K karena saklar jendela terlalu panas
5392,Consumer prices show US inflation ticking up,Economy,Harga konsumen menunjukkan inflasi AS meningkat
4223,Mickey Rooney Dies: Hollywood Star Was 93,Entertainment,Mickey Rooney Meninggal: Bintang Hollywood Berusia 93 Tahun
9892,Superman Strikes A Pose In First-Look Batman V. Superman Picture,Entertainment,Superman Berpose Dalam Tampilan Pertama Gambar Batman V. Superman
13489,Dollar General CEO Rick Dreiling to step down,Economy,CEO Umum Dollar Rick Dreiling akan mundur
24240,Know Fireworks Safety for a Fun Fourth,Entertainment,Ketahui Keamanan Kembang Api untuk Kegembiraan Keempat
50672,Star Wars Episode 7 to be set 30 years after Return of the Jedi,Entertainment,Star Wars Episode 7 berlatar 30 tahun setelah Return of the Jedi
29753,Indian students among top 10 of Intel science awards,Technology,Pelajar India termasuk dalam 10 besar penghargaan sains Intel
24173,Monday Movie Memo: Here's Why The Amazing Spider-Man 2 Is The Best  ...,Entertainment,Memo Film Senin: Inilah Mengapa The Amazing Spider-Man 2 Adalah Yang Terbaik ...
62007,BlackBerry Fourth Quarter Results Reveal Much Smaller Loss Than Expected,Economy,Hasil Kuartal Keempat BlackBerry Mengungkapkan Kerugian Jauh Lebih Kecil Dari Perkiraan
56239,Alibaba's IPO an unlikely Chinese success story,Economy,IPO Alibaba merupakan kisah sukses yang tidak terduga di Tiongkok
9810,Hackers Are Holding iPhones Hostage Using This Anti-Theft Feature,Technology,Peretas Menyandera iPhone Menggunakan Fitur Anti-Pencurian Ini
8325,BlackBerry CEO John Chen launches charm offensive after Q4 earnings beat  ...,Economy,CEO BlackBerry John Chen meluncurkan serangan pesona setelah pendapatan Q4 mengalahkan ...
50834,Sprint Beats Sales Estimates Amid Fewer Customer Losses,Technology,Sprint Mengalahkan Estimasi Penjualan Di Tengah Lebih Sedikit Kerugian Pelanggan
43541,Amal Alamuddin's connection to Julian Assange,Entertainment,Hubungan Amal Alamuddin dengan Julian Assange
47139,Robin Thicke dedicates BET performance to estranged wife Paula Patton,Entertainment,"Robin Thicke mendedikasikan penampilan BET untuk istrinya yang terasing, Paula Patton"
20231,South Africa loses its economic crown,Economy,Afrika Selatan kehilangan mahkota ekonominya
36977,Buildings Host Comic-Con Ads,Entertainment,Gedung Menjadi Tempat Iklan Comic-Con
6504,"Bank of America calls off dividend increase, suspends capital plan after error",Economy,"Bank of America membatalkan kenaikan dividen, menangguhkan rencana modal setelah terjadi kesalahan"
23859,Portland Approves Google Fiber But Gives Google Certain Terms Before Things  ...,Technology,Portland Menyetujui Google Fiber Tetapi Memberi Google Persyaratan Tertentu Sebelum Segalanya ...
56563,"MTV VMAs 2014: Most Ridiculous Fashion — Denim, Tiger Print, Onesies, and  ...",Entertainment,"MTV VMA 2014: Fashion Paling Konyol — Denim, Tiger Print, Onesies, dan ..."
63899,"Farewell, Kate O'Mara",Entertainment,"Selamat tinggal, Kate O'Mara"
41777,Samsung Galaxy S5 smartphone makes global debut,Technology,Smartphone Samsung Galaxy S5 membuat debut global
5350,Pfizer AstraZeneca deal would boost Treasury coffers,Economy,Kesepakatan Pfizer-AstraZeneca akan meningkatkan kas Treasury
62060,"Cersei Lannister, Lena Headey, May Not Get Naked on 'Game of Thrones' Due  ...",Entertainment,"Cersei Lannister, Lena Headey, Mungkin Tidak Telanjang di 'Game of Thrones' Karena ..."
38853,"Reuters: 4.7-inch iPhone 6 On Schedule, 5.5-inch iPhone Pro Could Face Delays",Technology,"Reuters: iPhone 6 4,7 inci Sesuai Jadwal, iPhone Pro 5,5 inci Bisa Menghadapi Penundaan"
41229,Jennifer Love Hewitt - Jennifer Love Hewitt Married Five Days Before Giving Birth,Entertainment,Jennifer Love Hewitt - Jennifer Love Hewitt Menikah Lima Hari Sebelum Melahirkan
9292,Is the London Gold Fix Broken?,Economy,Apakah Perbaikan Emas London Rusak?
43948,Small Buggy Fossils,Technology,Fosil Buggy Kecil
36622,The Big Bang has an Echo … Echo … echo,Technology,Big Bang mempunyai Gema… Gema… gema
20844,TweetDeck crashes on teen's prank,Technology,TweetDeck mogok karena lelucon remaja
26634,Facebook buys the future,Technology,Facebook membeli masa depan
33228,Housing Market Stutters In Finish To March Sales,Economy,Pasar Perumahan Tergagap Pada Penjualan Akhir Hingga Maret
58618,Ellie Goulding 'Beating Heart' MTV VIDEO 2014 PREMIERE [WATCH NOW  ...,Entertainment,Ellie Goulding 'Beating Heart' MTV VIDEO 2014 PREMIERE [TONTON SEKARANG ...
48836,Samsung updates “affordable” Galaxy range,Technology,Samsung memperbarui jajaran Galaxy “terjangkau”.
56666,'Agents of SHIELD' Gets Renewed,Entertainment,"""Agen SHIELD"" Diperbarui"
58385,China checks new images for possible debris of missing plane,Economy,Tiongkok memeriksa gambar baru untuk mencari kemungkinan puing-puing pesawat yang hilang
43629,Rumor: Disney Could Replace Harrison Ford as Indiana Jones,Entertainment,Rumor: Disney Bisa Menggantikan Harrison Ford sebagai Indiana Jones
22174,Suzuki cars recalled because of spiders,Technology,Mobil Suzuki ditarik kembali karena laba-laba
28025,Radcliffe play wows Broadway critics,Entertainment,Drama Radcliffe memukau para kritikus Broadway
58502,Apple Ad: You're More Powerful Than You Think With iPhone 5s,Technology,Iklan Apple: Anda Lebih Kuat dari yang Anda Bayangkan Dengan iPhone 5s
20016,Emma Stone's Yellow 'Amazing Spider-Man 2' Versace Dress Is Iconic (PHOTOS),Entertainment,Gaun Versace Kuning 'Amazing Spider-Man 2' Emma Stone Sangat Ikonik (FOTO)
14411,Android 4.1.1 Devices are Vulnerable to Heartbleed,Technology,Perangkat Android 4.1.1 Rentan terhadap Heartbleed
15438,"Beyonce Divorce Update: Jay-Z Cuts Off All Contact With Rachel Roy, Runs To  ...",Entertainment,"Pembaruan Perceraian Beyonce: Jay-Z Memutuskan Semua Kontak Dengan Rachel Roy, Berlari Ke ..."
56561,What If Janet Yellen Is Wrong?,Economy,Bagaimana Jika Janet Yellen Salah?
44322,"Everything you need to know about Android Wear, Google's foray into smart  ...",Technology,"Semua yang perlu Anda ketahui tentang Android Wear, terobosan Google dalam ..."
2331,Apple supplier Cirrus to buy Samsung chip maker Wolfson,Economy,Pemasok Apple Cirrus akan membeli pembuat chip Samsung Wolfson
52704,"Nick Cannon Does Whiteface To Promote New Album & We're Like, This Can't  ...",Entertainment,"Nick Cannon Melakukan Whiteface Untuk Mempromosikan Album Baru & Kami Seperti, Ini Tidak Bisa ..."
17710,Hong Kong lawyers in silent protest say Beijing interferes with rule of law,Economy,Pengacara Hong Kong yang melakukan protes diam-diam mengatakan Beijing mengganggu supremasi hukum
34518,Gold price clings to $1300/oz as Ukraine tension eases,Economy,Harga emas bertahan di $1300/oz karena ketegangan di Ukraina mereda
35502,Taco Bell pokes fun at McDonald's in new ad,Economy,Taco Bell mengolok-olok McDonald's dalam iklan baru
56462,"Bill Murray crashes, charms a Charleston, SC, bachelor party",Entertainment,"Bill Murray jatuh, memikat pesta bujangan Charleston, SC"
13007,"Samsung unveils Galaxy S5, to be priced above Rs 51000",Technology,"Samsung memperkenalkan Galaxy S5, dengan harga di atas Rs 51000"
47673,The Walking Dead Season 4 Finale: Is the New Poster Hinting at the Arrival of  ...,Entertainment,Final The Walking Dead Musim 4: Apakah Poster Baru Mengisyaratkan Kedatangan ...
12760,"Tokyo stocks drop on US equities fall, firmer yen",Economy,"Saham Tokyo turun karena ekuitas AS melemah, yen menguat"
34476,"Jon Hamm: Porn Past Was ""Soul-Crushing""",Entertainment,"Jon Hamm: Film Porno di Masa Lalu ""Menghancurkan Jiwa"""
20700,"French company makes bid for T-Mobile, according to report",Technology,"Perusahaan Prancis mengajukan penawaran untuk T-Mobile, menurut laporan"
10408,"Blue Chips Lead, Tech Lags, as Momentum Names Retreat",Economy,"Blue Chips Memimpin, Ketertinggalan Teknologi, Saat Nama Momentum Mundur"
1907,Victoria Beckham takes a tender trip down memory lane on 15-year wedding  ...,Entertainment,Victoria Beckham melakukan perjalanan lembut menyusuri jalan kenangan pada 15 tahun pernikahannya ...
8890,Southern California Jews To Begin Celebrating Passover at Sundown,Entertainment,Orang Yahudi California Selatan Mulai Merayakan Paskah saat Matahari Terbenam
10696,"Paul Walker crash due to speed not mechanical failure, police conclude",Entertainment,"Kecelakaan Paul Walker karena kecepatan, bukan kerusakan mekanis, polisi menyimpulkan"
39582,Massive crater appears at 'end of the earth' in Russia,Technology,Kawah besar muncul di 'ujung bumi' di Rusia
1911,Market overview: FTSE closes up 43 at 6839,Economy,Tinjauan pasar: FTSE ditutup naik 43 pada 6839
