text,label
coo twitter ali rowghani meninggalkan perusahaan,0
vietnam berupaya membungkam protes anti-beijing ketika tiongkok mengevakuasi warganya,0
film fitur aksi langsung power rangers diumumkan,1
valuasi sebesar 18$ miliar untuk aplikasi taksi uber tampak tidak masuk akal,0
"penghargaan musik billboard: nicki minaj, kendall jenner memakai potongan di karpet",1
"justin bieber minta maaf, mengaku tidak tahu setelah selfie tidak terhormat di jepang",1
gm mengeluarkan penarikan tambahan,0
harga jeruk nipis melonjak 500 persen,0
steve martin sebenarnya belum ditawari peran ayah mempelai wanita iii,1
video robin thicke baru ini sangat lucu dan sedih,1
troll 50 cent floyd mayweather dan ti memperebutkan tiny (video),1
tetangga menggulingkan spider man 2 di box office,1
air france-klm memangkas perkiraan laba,0
"oh, poster yang luar biasa! dapatkan di bawah lampu jalan bersama john lloyd young di clint ...",1
"di athena, merkel menyelesaikan kesepakatan",0
burger king untuk gay: apakah kami punya burger untuk anda,0
"tonton yang mulia rose menyanyikan ""shake it out"" di american idol 2014 top 9 — maret ...",1
wharton: pengungsi perubahan iklim,2
rumor: iphone 6 akan diluncurkan pada bulan september,2
aplikasi android terlaris di google play store diduga 'penipuan',2
"duke energy, perjanjian epa memicu pertanyaan tentang biaya pembersihan, tanggung jawab",0
emirates menyelesaikan kesepakatan senilai $56 miliar untuk 150 boeing 777x,0
carney menggabungkan departemen bank of england setelah tinjauan mckinsey,0
euro merosot ke level terendah 21 bulan terhadap sterling,0
poster film ninja turtles menyebabkan kemarahan 9/11,1
tonton streaming langsung 'dancing with the stars' musim 18 episode 3 online! akan ...,1
pinterest mencapai penilaian us$5 miliar dalam putaran pembiayaan baru,0
"dalam watch dogs, perempuan hanyalah korban dan plot point",2
edisi pertama: 18 maret 2014,0
"pembaruan 7-pemenang nobel garcia marquez, ahli realisme magis, meninggal pada usia 87 tahun",1
hari ibu yang benar-benar istimewa,1
ulasan: 'dom hemingway' membuat jude law hancur dan kenikmatan apa pun,1
5 target pembelian yang dapat menghasilkan keuntungan instan,0
pboc akan tetap berhati-hati dan memandang asuransi simpanan sebagai prioritas,0
"um, teman-teman, kapten janeway berpikir matahari berputar mengelilingi bumi",1
review: 'captain america: winter soldier' ​​adalah salah satu film marvel terbaik yang pernah ada,1
sony membutuhkan 'the amazing spider-man 2' untuk menjadi kemenangan besar,1
nasa telah menemukan sebagian besar planet mirip bumi,2
kim kardashian telah menemukan rasisme meski selalu ada di sini,1
video: apple telah meraih kemenangan pertamanya dalam pertarungan paten samsung senilai $2 miliar,2
penulis adrian mole sue townsend meninggal pada usia 68: nak,1
manfaat amazon prime baru: streaming musik,1
harga gas turun ke level terendah dalam empat bulan,2
diperbarui: lafarge dan holcim menyetujui mega-merger,0
khloé kardashian mendapat jeep putih untuk ulang tahunnya,1
cody walker terbuka tentang kematian saudaranya paul -- dan bagaimana dia berencana untuk ...,1
pendapatan blackberry turun di bawah $1 miliar karena perusahaan hanya menjual sedikit blackberry baru,0
penonton film meninggalkan 'fault in our stars' sambil menangis,1
keputusan federal mewajibkan kamera pandangan belakang di semua kendaraan baru pada tahun 2018,2
"rekap ""game of thrones"": pengadilan tyrion lannister",1
"treasury as datar, menghentikan penurunan beruntun 3 sesi",0
rekap final seri how i met your mother: bagaimana semuanya berakhir?,1
shia labeouf tidak masuk rehabilitasi meski ada laporan,1
"galaxy s5, iphone 5s, dan htc one m8 diuji jatuh (video)",2
"sarah palin mengungkapkan minatnya pada obrolan siang hari, menyarankan dirinya untuk 'the view'",1
kebangkitan 'full house': pertunjukan mungkin akan kembali dengan sentuhan baru,1
kris jenner marah karena kanye tidak mau menjual foto pernikahannya,1
tonton: reaksi anak-anak terhadap komputer lama,2
"kata-kata terakhir tupac shakur: 2pac menyuruh polisi menanyainya karena nama penembak, 'f-you'",1
uang orang india di bank swiss meningkat menjadi lebih dari ₹14000 cr,0
perdana menteri turki mengancam akan 'membasmi' twitter,0
