No,News Title,Category,News Title Indonesia
42932,Movie review: Raunchy comedy 'Neighbors' is nearly funny,Entertainment,Ulasan film: Komedi cabul 'Neighbors' hampir lucu
39585,"2014 Mercedes-Benz B-Class Electric Drive Gets Official Pricing, Other Release  ...",Technology,"Mercedes-Benz B-Class Electric Drive 2014 Dapatkan Harga Resmi, Rilis Lainnya ..."
17721,'I Am Alive And Well': Seinfeld Star Wayne Knight Shoots Down Twitter Hoax  ...,Entertainment,'I Am Alive And Well': Bintang Seinfeld Wayne Knight Menembak Hoax Twitter ...
30712,Titanfall PC's 48GB install size explained by Respawn,Technology,Ukuran instalasi Titanfall PC 48GB dijelaskan oleh Respawn
49189,Look Out Ibiza: Kendall Jenner & Kim Kardashian Jet Into Party Island,Entertainment,Awas Ibiza: Kendall Jenner & Kim Kardashian Jet Ke Pulau Pesta
59592,Housing Prices Jump Though Top of Market Cools Off,Economy,Harga Perumahan Melonjak Meskipun Bagian Atas Pasar Mendingin
12193,Chris Hemsworth's wife Elsa shares first picture of twin baby boys!,Entertainment,"Istri Chris Hemsworth, Elsa, membagikan foto pertama bayi laki-laki kembarnya!"
20835,Kospi up as Samsung reveals Q2 damage,Economy,Kospi naik saat Samsung mengungkapkan kerusakan Q2
5509,Turkey's Manufacturing Activity Contracts Further In July,Economy,Aktivitas Manufaktur Turki Berkontraksi Lebih Lanjut di Bulan Juli
42522,Leaked Document: Scientists Ordered to Scrap Plan to Protect Wolverines,Technology,Dokumen yang Bocor: Ilmuwan Diperintahkan untuk Membatalkan Rencana untuk Melindungi Serigala
1359,'Maleficent' Star Angelina Jolie Looks Back on Her Past Films,Entertainment,Bintang 'Maleficent' Angelina Jolie Mengenang Kembali Film Masa Lalunya
14985,Godzilla demolishes UK box office competition,Entertainment,Godzilla menghancurkan persaingan box office Inggris
55794,"'The Bachelorette' podcast: Overnight dates, edits, and 'Bachelor' talk with Jessa",Entertainment,"Podcast 'The Bachelorette': Kencan semalam, pengeditan, dan pembicaraan 'Sarjana' dengan Jessa"
51429,GM shifting Cadillac SUV production to U.S. from Mexico,Technology,GM mengalihkan produksi SUV Cadillac ke AS dari Meksiko
60992,Scientists: Scroll that mentions Jesus' wife genuine,Entertainment,Ilmuwan : Gulungan yang menyebutkan istri Yesus asli
28582,Source: Latest News,Entertainment,Sumber: Berita Terkini
40232,French president Hollande visits Niger on tour,Economy,Presiden Prancis Hollande mengunjungi Niger dalam tur
88,Led Zeppelin Sued Over 'Stairway To Heaven' Guitar Line,Entertainment,Led Zeppelin Dituntut Atas Garis Gitar 'Stairway To Heaven'
29296,German Economy Strengthens as Industry Survey Beats Estimate,Economy,Perekonomian Jerman Menguat karena Survei Industri Melampaui Estimasi
63589,Samsung Galaxy Note 4 May Continue Biometrics Craze With Retina Scanner,Technology,Samsung Galaxy Note 4 Mungkin Melanjutkan Kegemaran Biometrik Dengan Pemindai Retina
60447,Outkast reunite at Coachella festival,Entertainment,Outkast bersatu kembali di festival Coachella
61106,"CNOOC rig part of land grab, U.S. says",Economy,"CNOOC melakukan bagian dari perampasan tanah, kata AS"
